location_id,location_name,latitude,longitude
344104,"Kompally Municipal Office, Hyderabad - TSPCB",17.544899,78.486949
344140,"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437
344144,"IITH Kandi, Hyderabad - TSPCB",17.585705,78.126199
346257,"Ramachandrapuram, Hyderabad - TSPCB",17.528544,78.286195
346258,"Kokapet, Hyderabad - TSPCB",17.393559,78.339194
346438,"Rajendra Nagar, Bareilly - UPPCB",28.38910936,79.42963708
346439,"Kalindi Kunj, Khurja - UPPCB",28.2348927,77.8683002
352465,"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864
352777,"Kashiram Nagar, Moradabad - UPPCB",28.849399,78.742362
353715,"Transport Nagar, Moradabad - UPPCB",28.802625,78.753728
358448,"Kumaran College, Tirupur - TNPCB",11.0973603,77.3228673
358450,"Bombay Castel, Ooty - TNPCB",11.4068288,76.7138973
358452,"Chalai Bazaar, Ramanathapuram - TNPCB",9.36399,78.831977
358453,"Mendonsa Colony, Dindigul - TNPCB",10.358535,77.984321
358456,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027
358457,"PSG College of Arts and Science, Coimbatore - TNPCB",11.0328,77.0349
358467,"Civil Lines, Bareilly - UPPCB",28.359581,79.414455
358627,"Crescent University, Chengalpattu - TNPCB",12.8777316,80.0834807
358665,"Ramteerth Nagar, Belgaum - KSPCB",15.888653,74.541751
361378,"Paryavaran Parisar, Bhopal - MPPCB",23.210494,77.425409
363601,"Girls College, Sivasagar - PCBA",26.987634,94.636574
1236037,Dhopagachi,22.3743,88.415
1894641,Lahore,31.54815,74.34396
2498781,SiriJaya,12.909153635368195,77.52476183092863
2812757,Jaffna,9.66831,80.02299
2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058
3024966,NASA GSFC Rutgers Calib. N8,28.31733,76.91603
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University",23.888280501941725,90.26536993068466
3292849,Farhan Shah Labs,32.424312,74.52885
3409317,"Chauhan Colony, Chandrapur - MPCB",19.9629,79.298714
3409318,"Central School, Lucknow - CPCB",26.8821003,80.9302753
3409319,"Alandur Bus Depot, Chennai - CPCB",12.9099161,80.1076538
3409320,"Rabindra Bharati University, Kolkata - WBPCB",22.627875,88.3804
3409321,Haldia - WBSPCB,22.06047,88.109737
3409322,"Pimpleshwar Mandir, Thane - MPCB",19.192056,72.9585188
3409323,"Worli, Mumbai - MPCB",18.9936162,72.8128113
3409328,"Bandra Kurla Complex, Mumbai - IITM",19.0627,72.84614
3409329,"Deonar, Mumbai - IITM",19.04946,72.923
3409331,"Bhosari, Pune - IITM",18.640051,73.848956
3409336,"GIFT City, Gandhinagar - IITM",23.163798,72.677768
3409339,"Central Jail, Buxar - BSPCB",25.555605,83.950942
3409341,"Manipur University, Imphal - Manipur PCB",24.7524239,93.9286218
3409342,"DM College of Science, Imphal - Manipur PCB",24.8207389,93.9423085
3409343,"Keelapalur, Ariyalur - TNPCB",11.06825,79.07033
3409344,"Municipal Corporation Office, Tirunelveli - TNPCB",8.728442,77.6962
3409345,"Parisutham Nagar, Thanjavur - TNPCB",10.7654824,79.1389968
3409346,"Semmandalam, Cuddalore - TNPCB",11.7637683,79.7499835
3409347,"SIPCOT Phase-1, Hosur - TNPCB",12.746998,77.813811
3409348,"Uchapatti, Madurai - TNPCB",9.865935,78.022669
3409349,"Vasanthapuram, Vellore - TNPCB",12.909494,79.131861
3409350,"Velippalayam, Nagapattinam - TNPCB",10.798548,79.838212
3409351,"VOC Nagar_SIPCOT, Ranipet - TNPCB",12.952707,79.30394
3409353,"Kilambi, Kanchipuram - TNPCB",12.864618,79.659968
3409354,"Kudikadu, Cuddalore - TNPCB",11.6829898,79.7532099
3409355,"Sona College of Technology, Salem - TNPCB",11.679111,78.125052
3409356,"Bharathidasan University, Palkalaiperur - TNPCB",10.681158,78.741746
3409357,"Kamadenu Nagar, Karur - TNPCB",10.96782,78.080882
3409358,"St Joseph College, Tiruchirappalli - TNPCB",10.830158,78.691849
3409359,"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381
3409361,"AIIMS, Raipur - CECB",21.258815,81.578979
3409362,"Siltara Phase-II, Raipur - CECB",21.371751,81.664929
3409363,"Krishak Nagar, Raipur - CECB",21.237755,81.705301
3409364,"Bhatagaon New ISBT, Raipur - CECB",21.219665,81.630094
3409365,"Rampur, Korba - CECB",22.368195,82.746431
3409366,"Urja Nagar, Korba - CECB",22.348441,82.549611
3409367,"Hathkhoj, Bhilai - CECB",21.224231,81.40835
3409368,"32Bungalows, Bhilai - CECB",21.194815,81.31477
3409369,"Maharaj Bada, Gwalior - MPPCB",26.200388,78.147714
3409370,"Civil Lines, Sagar - MPPCB",23.838586,78.759431
3409371,"Science Center, Surat - SMC",21.170046,72.795405
3409372,"Gangineni Cheruvu, Chittoor - APPCB",13.20488,79.097889
3409373,"Vaikuntapuram, Tirupathi - APPCB",13.615387,79.40923
3409374,"Deen Dayal Nagar, Gwalior - MPPCB",26.259242,78.216432
3409375,"Bata Chowk, Nalbari - PCBA",26.446912,91.439057
3409376,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488
3409377,"Meher Colony, Baripada - OSPCB",21.941841,86.728318
3409378,"Jagamohanpur, Keonjhar - OSPCB",21.6439,85.599355
3409379,"Divisional Forest Office, Rairangpur - OSPCB",22.265816,86.174829
3409380,"Tata Township, Bileipada - OSPCB",22.06156703,85.47409613
3409381,"Dabuna, Nayagarh - OSPCB",21.847279,85.416905
3409382,"Raghunathpali, Rourkela - OSPCB",22.220833,84.809444
3409383,"OMC Colony, Suakati - OSPCB",21.606865,85.510538
3409384,"Barsua Iron Ore Mines, Tensa - OSPCB",21.869985,85.167016
3409385,"RVCE-Mailasandra, Bengaluru - KSPCB",12.921418,77.502466
3409386,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",17.336318,76.847397
3409387,"Lingaraj Nagar, Hubballi - KSPCB",15.3714823,75.1160168
3409388,"Kasturi Nagar, Bengaluru - KSPCB",13.003872,77.664217
3409389,"Thimmalapura, Tumakuru - KSPCB",13.377516,77.099072
3409390,"LGBI Airport, Guwahati - PCBA",26.10887,91.589544
3409391,"Tarapur, Silchar - PCBA",24.82827,92.79525
3409392,"Kanuru, Vijayawada - APPCB",16.486692,80.699436
3409393,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115
3409394,"Fertilizer Township, Rourkela - OSPCB",22.18972222,84.86277778
3409395,"Sector-2, Rourkela - OSPCB",22.245,84.88111111
3409396,"Nawapara SECL Colony, Chhal - CECB",22.118125,83.140608
3409397,"OP Jindal School, Kunjemura - CECB",22.12665,83.483212
3409398,"Govt. Higher Secondary School, Milupara - CECB",22.1910172,83.5197009
3409399,"OP Jindal Industrial Park, Tumidih - CECB",22.06631475,83.33820077
3409400,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187
3409401,"Samrat Ashok Udhyan, Jodhpur - RSPCB",26.253384,72.976571
3409402,"Krishna Nagar, Bharatpur - RSPCB",27.215415,77.50873
3409404,"Subash Chowk, Churu - RSPCB",28.296139,74.961696
3409405,"Raja Ganj, Dholpur - RSPCB",26.699557,77.898881
